NAME,Covid Confirmed Cases,Covid Deaths ,Population,Covid Case Rate (per 1000),Covid Death Rate (per 1000), Households SNAP , Estimated Individuals SNAP , Total Citizen Educated in US , Citizen Less than High School  Education , Citizen High School  Graduate , Citizen Some College  Education , Citizen College Degree  , Citizen Graduate or Professional Degree , Total Citizen Income , Citizen No Income ,"Citizen Income $1-$9,999","Citizen Income $10,000-$14,999","Citizen Income $15,000-$24,999","Citizen Income $25,000-$34,999","Citizen Income $35,000-$49,999","Citizen Income $50,000-$64,999","Citizen Income $65,000-$74,999","Citizen Income $75,000 +", Total Population , One Race Population , White Race , Black Race , Native American Race , Asian Race , Pacific Islander Race , Other Race Alone , Hispanic or Latino ,Median Age,Male Median Age,Female Median Age, Total Households , Average Household Size , Total Families 
"Somerset County, New Jersey",238557,19097,323444,737.5527139,59.04267818,3762,10195,230407,13038,48614,46368,66537,55850,271958,35756,32951,15305,26296,23283,26789,24384,12006,75188,323444,226608,28943,556,45650,94,13360,8233,281353,40.2,39,41.3,117759,3,80835
"Sussex County, New Jersey",61091,7107,149265,409.2787995,47.6133052,2402,6461,101164,5677,31745,28991,23533,11218,119678,13477,15499,8286,14121,11441,13222,11840,5869,25923,149265,139504,2677,234,2642,36,1783,2389,139648,41.8,41,42.4,54752,3,35773
"Union County, New Jersey",846729,48870,536499,1578.248981,91.09057053,18043,50881,377040,52951,110261,85379,77535,50914,448233,64625,63226,32151,59854,44532,47895,38527,18244,79179,536499,329052,118313,2080,24839,163,45496,16556,389795,38,36.4,39.4,188118,3,131258
"Warren County, New Jersey",60124,5848,108692,553.1593862,53.80340779,3320,8532,75330,6939,23732,20815,15509,8335,89191,9611,13031,5859,11552,8506,10805,9149,4273,16405,108692,98137,3818,155,2673,30,1964,1915,101033,41.5,40.4,42.5,41480,3,25608
"Fairfield County, Connecticut",805242,58849,916829,878.290281,64.18754206,32906,88188,642401,68146,141048,134711,165926,132570,768497,100630,110434,49807,90878,68609,77529,59490,29265,181855,916829,685900,99317,2384,42284,442,62474,24028,761804,39.5,38,40.8,335545,3,227019
"Hartford County, Connecticut",450376,52512,894014,503.7683974,58.73733521,56115,138604,622863,66150,169040,154982,132166,100525,741026,88372,104860,54449,88907,73349,92148,71626,35302,132013,894014,647237,119191,2387,37958,289,63058,23894,757231,39.9,38.2,41.4,350854,2,204043
"Litchfield County, Connecticut",68376,6009,189927,360.0120046,31.63847162,6699,16346,135410,10836,39337,37873,27496,19868,156568,14209,19212,11863,20134,17090,20316,17255,7743,28746,189927,178268,2558,404,2908,45,2708,3036,181392,44.4,43.4,45.4,76640,2,40952
"Middlesex County, Connecticut",50786,6341,165676,306.5380622,38.27349767,5850,13982,118781,7140,32362,30873,27082,21324,139498,13186,18542,9329,15068,13545,17020,14932,7406,30470,165676,147823,7727,253,4247,58,2154,3414,157842,43.1,41.9,44.1,67202,2,35098
"New Haven County, Connecticut",544454,40947,862477,631.2678483,47.47604864,52580,130924,595779,59891,182609,146901,111795,94583,716506,87146,106764,54410,90295,72903,86952,71144,32861,114031,862477,644744,109850,2497,30263,334,51981,22808,732734,39.3,37.8,40.6,334502,2,192974
"New London County, Connecticut",46001,3303,274055,167.8531682,12.05232526,13837,33762,188628,15314,56761,54405,34115,28033,226710,21411,33942,18272,29131,23543,28040,22869,10648,38854,274055,225213,16025,2505,11383,180,8722,10027,250841,40.4,38.8,42,107057,2,59599
"Tolland County, Connecticut",36536,2859,152691,239.2806387,18.72408983,4556,11436,95679,5616,25979,26080,21525,16479,129730,13077,25393,9094,13644,11100,14173,12947,6140,24162,152691,137125,5011,264,5134,36,2367,2754,146089,38.3,37,39.4,54477,3,30884
"Windham County, Connecticut",16276,490,118428,137.433715,4.137535042,7426,18862,80756,9407,26446,25191,11950,7762,97388,9172,15716,8000,14418,11652,12273,10412,4553,11192,118428,106100,2617,562,1388,44,5002,2715,107077,39.2,38.1,40.4,44810,3,26446
