Total Population,Total Citizen Income,Hispanic or Latino,Total Citizen Educated in US,Total Households,White Race,Total Families,Hispanic or Latino_iqr,Citizen High School  Graduate,Citizen Some College  Education,Citizen College Degree,Citizen Income over 75000,Citizen No Income,Citizen Income 1-9999,Pacific Islander Race,Native American Race,Citizen Graduate or Professional Degree,Citizen Less than High School  Education,Citizen Income 15000-24999,Citizen Income 35000-49999,Death Rate Categories
930450,737153,462380,588491,289391,49523,277507,140466.75,134373,186653,78378,66425,143214,132418,217085,89357,40011,149076,103219,68728,1
28122,21747,17583,17927,9800,231,7865,17583.0,4891,5779,1819,1365,3907,3845,5522,722,509,4929,3406,2178,0
134623,113536,121412,91359,56031,1505,27061,121412.0,21962,33878,17668,9016,12894,21584,5003,2944,9216,8635,18406,12717,1
174528,136747,34257,108522,49126,5773,51098,34257.0,25530,33212,10692,9446,31215,32000,52413,2843,4806,34282,17057,10249,2
18546,15136,14949,13230,8049,109,3900,14949.0,4014,4370,2103,1808,1392,1713,1676,243,1241,1502,2734,1735,1
839631,662468,426598,526286,254610,48921,254081,140466.75,145694,159688,55523,62486,148627,105363,204314,34846,27558,137823,92863,58138,1
152982,115510,75116,91889,41233,11014,42548,75116.0,23477,31542,8518,8159,31858,16133,42996,5620,3473,24879,15535,10974,1
64665,53307,53577,46386,26548,1232,13672,53577.0,14042,18137,4588,4263,7579,9201,5455,724,2528,7091,9667,4859,0
34895,27278,28778,22422,10058,2834,6293,28778.0,7265,8416,1761,2220,10674,3402,3562,356,1020,3960,2452,2208,0
9818605,8227851,5130716,6801851,3241204,856874,2402208,140466.75,1408905,1782880,1384333,1098279,1517532,1243758,2140632,1346865,739973,1485760,1145827,805053,2
150865,118744,69873,96096,43317,5629,42849,69873.0,23827,31695,8945,8907,27020,20260,37380,2802,4351,27278,18482,9868,1
252409,216737,213340,191055,103210,6987,52214,140466.75,21448,46833,62021,68681,23662,26290,16973,13761,47855,12898,21953,19390,1
18251,15396,16575,13656,7693,138,3242,16575.0,3852,5119,2017,1468,1985,2429,508,204,1318,1350,2473,2043,1
87841,71717,68336,61673,34945,622,19461,68336.0,16180,22129,10117,6433,8711,12671,10185,1450,5168,8079,11341,8232,0
255793,200938,115308,156562,75642,9926,80698,115308.0,39302,47016,14006,14194,41544,35340,62665,18836,7535,48703,30294,19764,1
9686,7572,8344,6852,4064,82,2124,8344.0,2087,2636,859,440,958,1332,680,78,277,993,1475,813,0
14202,11681,10440,9692,5768,47,2979,10440.0,1835,3320,2250,1405,943,1511,1539,192,807,1480,2123,1569,1
